Latitude,Longitude,Cluster
45.0841526,-67.0800807,18
50.118217,-122.9527727,56
44.0027908,-79.46878535,129
43.9971577,-79.4652073,129
48.474117,-64.306798,16
45.45804045,-75.64536098,-1
50.0135873,-105.060519,-1
42.7739751,-80.9716404,112
49.8275309,-99.9500772,85
49.0960503,-99.3400468,86
49.262669,-123.102505,119
48.33,-70.98,21
49.8932874,-56.2222647,-1
43.1331481,-79.38603793,118
45.0593211,-77.8571419,-1
45.51638224,-75.39034873,95
51.1754299,-115.5710521,49
45.421506,-75.7020619,124
45.504783,-73.558005,138
45.504827,-73.557955,138
46.1354843,-64.86036042,45
49.2036368,-53.5149402,7
45.272864,-66.06269,32
54.1267869,-114.401415,-1
43.56788867,-65.57828584,24
45.4886078,-77.6700841,-1
44.2861683,-79.8925045,103
49.2758184,-123.1000334,127
47.568113,-52.7087665,13
46.4034729,-62.2466661,-1
43.09000038,-79.09632897,118
45.158603,-73.928607,-1
48.01303,-66.735892,17
43.21760666,-79.7660966,135
43.2186073,-79.7660154,135
49.16829541,-122.57544,89
49.2643712,-123.2154904,109
49.27937945,-123.1107111,126
49.27619,-123.110438,-1
49.89140768,-119.4940587,79
43.07709464,-80.84176608,115
49.2634318,-123.251485,109
52.0799198,-106.6167818,53
46.983663,-65.5542247,17
50.2284479,-99.4615659,-1
44.4304944,-79.1578601,97
49.2255463,-100.0594487,86
50.7484613,-55.55742888,-1
43.52754258,-79.63719551,132
52.466017,-114.049485,96
43.695537,-79.42423692,142
54.025278,-109.160556,20
49.100562,-105.1719885,-1
53.8317946,-107.03149,-1
49.2799979,-122.9156806,-1
45.38990113,-75.67194336,-1
45.38877594,-75.67495985,-1
44.5661347,-80.9477664,102
48.83462,-72.526657,22
45.5596023,-73.5497097,128
46.0464128,-73.1062579,76
45.514151,-73.531559,-1
50.422182,-101.037933,63
45.4712223,-76.68278815,73
43.7747704,-79.51803621,-1
45.507629,-73.569486,139
52.46397191,-113.7308632,96
45.51600206,-75.39077095,95
52.8346008,-106.8751898,42
49.242077,-123.113759,-1
45.5406362,-77.1001376,-1
54.2712935,-110.7234435,20
52.4050653,-107.2386498,53
42.61256943,-81.89584547,-1
49.15181445,-55.34081284,7
48.513341,-72.220467,22
49.0182776,-118.5064338,-1
51.0421477,-114.017551,83
51.9322198,-114.0319358,-1
49.387838,-123.3325302,-1
44.5396859,-78.5402117,98
50.7716425,-122.8078588,-1
43.1418448,-80.26080928,115
52.12904245,-104.5240359,43
49.733333,-54.166667,7
50.1649226,-105.2672582,61
49.6237146,-123.2033875,-1
49.8916022,-119.4937517,79
50.3811582,-102.5876211,63
44.58624815,-75.68655939,-1
45.219408,-72.508559,93
45.2528876,-63.2835115,36
50.5670727,-111.8769972,-1
43.4763504,-80.55286224,113
44.4956398,-81.3686585,-1
44.60376424,-80.58944079,103
45.20868,-72.741599,93
51.1723077,-115.5732216,49
47.3963249,-79.6851626,19
47.612504,-57.6095399,-1
45.62444905,-79.38557067,50
43.89341386,-79.26753039,137
43.312155,-79.8191497,134
49.2394477,-122.9672589,104
49.5556462,-99.2910043,85
42.30606915,-82.2202438,91
49.2674445,-55.0285778,7
45.42604708,-75.69795572,124
53.52206619,-113.4974344,107
49.1741508,-113.4545181,-1
43.6668454,-79.3641548,142
43.89261511,-79.26690364,137
49.7236528,-107.7393648,66
51.01423945,-114.1162943,84
51.09385585,-114.0129894,-1
46.2247018,-79.3575135,37
43.3600316,-80.31194067,113
45.42136195,-75.68881752,120
45.9271574,-64.3541386,44
43.65090189,-79.38715271,142
50.01987976,-125.2370241,65
50.0326958,-125.2699716,65
50.01530557,-125.2360413,65
44.8903969,-66.9559413,18
53.0131084,-112.8321497,-1
53.0162,-112.8204327,-1
45.275177,-75.7039356,-1
45.38522951,-75.71282832,-1
45.40324381,-75.62160964,-1
52.968492,-113.36792,106
44.230687,-76.481323,77
43.57129054,-79.89266434,-1
43.746772,-79.479249,141
45.4157447,-75.6914476,120
43.8949093,-78.8621701,121
53.47835403,-113.4618585,107
43.64442649,-79.38770643,142
44.2880728,-78.33029842,99
45.428957,-75.708926,125
46.106151,-77.5077378,-1
42.81933883,-79.90449335,111
44.036115,-78.3932448,-1
45.3433515,-72.5140845,93
43.25182544,-79.83122957,135
43.2552007,-79.8730366,135
45.5421326,-73.5476297,128
49.1965263,-98.1114681,81
43.448391,-79.7127762,-1
45.5162674,-73.5831018,-1
42.2675679,-82.9707886,82
49.2016302,-122.9117763,104
43.67322255,-79.4078422,142
42.98471,-81.2454562,108
52.10190765,-106.6071475,53
43.1315581,-80.2511113,115
43.6576443,-79.9498959,-1
43.77088768,-79.21929776,-1
49.09920599,-122.6260122,89
49.8906466,-97.13107756,101
43.6544937,-79.3866913,142
45.42919052,-75.7089802,125
45.42931525,-75.70879954,125
45.429538,-75.709473,125
45.42942,-75.71019,125
44.6386091,-63.56518153,41
43.834586,-79.4290184,-1
45.41262591,-75.68893044,120
49.5116964,-115.7717684,54
49.278055,-123.127484,-1
46.7035187,-64.234657,-1
45.4288476,-73.8269023,110
45.4171217,-75.71663422,-1
43.15986821,-79.92499482,-1
51.0897772,-115.3603695,49
51.6306617,-102.4391119,43
46.1930182,-59.94193455,31
46.6610695,-53.0751169,-1
46.27231894,-63.10277623,26
49.8708406,-99.3609502,85
47.733123,-53.2366225,12
45.567249,-74.378386,-1
46.1596424,-67.5917318,-1
45.1432321,-76.146935,-1
44.8396282,-75.3162469,-1
45.58808662,-62.64174277,39
51.5636838,-114.0990278,-1
46.825262,-71.239569,59
49.17465045,-99.68227946,86
48.270476,-65.912376,17
46.888068,-71.074592,59
43.40426665,-80.67165337,113
45.9159191,-81.9117431,15
45.530242,-73.715862,116
49.280067,-123.098181,127
46.2379202,-72.6036297,87
45.523357,-73.546434,133
46.96881915,-71.01870924,59
48.3028048,-71.1644362,21
45.2935877,-72.1781133,93
48.2791043,-69.4829891,-1
47.55409,-70.534324,57
49.8522554,-97.1704342,-1
48.4223367,-123.4020353,70
45.55398096,-73.55415828,128
45.50873455,-73.55319173,138
45.553837,-73.553893,128
45.508739,-73.553259,138
49.4934048,-117.2916254,-1
45.8235054,-77.0847031,68
47.5498131,-79.2373836,19
43.49641164,-65.70313566,24
45.6318886,-72.942294,-1
47.8413789,-83.4037085,-1
45.12619158,-64.522373,48
45.19245,-67.2802136,18
42.40777799,-82.18240074,91
48.9231056,-123.7171931,70
53.48807201,-113.4785807,107
49.16897019,-121.956597,-1
49.2797742,-123.1023264,127
49.279894,-123.102448,127
46.7931871,-71.38436942,59
